Name,Korean,Category,Locality,Address,Confidence,NaverLink,Source
Yoonseul: Manridong Reflecting Seoul,윤슬,Architecture,"Manri-dong, Seoul (near Seoul Station)",서울특별시 중구 세종대로 14 그랜드센트럴 1층,High,https://map.naver.com/p/search/윤슬,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
Ewha Womans University,,Architecture,"Seodaemun-gu, Seoul",서울특별시 서대문구 이화여대길 52,Check,https://map.naver.com/p/search/이화여자대학교,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
Gangnam Station Exit 9,,Architecture,"Gangnam, Seoul",,Unresolved,https://map.naver.com/p/search/Gangnam%20Station%20Exit%209,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
National Museum of Korea,,Architecture,"Yongsan-gu, Seoul",서울특별시 종로구 효자로 12 국립고궁박물관,Check,https://map.naver.com/p/search/국립고궁박물관,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
Itami Jun Museum,,"Jeju, Architecture","Hallim, Jeju",제주특별자치도 제주시 한림읍 용금로 906-10 유동룡미술관(ITAMI JUN MUSEUM),Check,https://map.naver.com/p/search/유동룡미술관,https://www.instagram.com/reel/DYEgLnZNw_u/
Breath Coffee Works,,Architecture,Ha-dong / Gyeongju,경상북도 경주시 보불로 204-8 브레스커피웍스,Check,https://map.naver.com/p/search/브레스커피웍스,https://www.instagram.com/p/DXeKplTjCJx/?img_index=4
Audeum Audio Museum,,Architecture,"Sinwon, Seoul",,Unresolved,https://map.naver.com/p/search/Audeum%20Audio%20Museum,https://www.instagram.com/p/DWi4jxfiVaL/?img_index=3
LG Arts Center Seoul,,Architecture,"Magok, Seoul",서울특별시 강서구 마곡중앙로 136 LG아트센터 서울,Check,https://map.naver.com/p/search/LG아트센터%20서울,https://www.instagram.com/p/DWi4jxfiVaL/?img_index=3
MMCA (National Museum of Modern and Contemporary Art),,Architecture,"Samcheong, Seoul",,Unresolved,https://map.naver.com/p/search/MMCA%20(National%20Museum%20of%20Modern%20and%20Contemporary%20Art),https://www.instagram.com/p/DWi4jxfiVaL/?img_index=3
Yuji Coffee Works,,Architecture,"Orai, Jeju",제주특별자치도 제주시 오남로 297 유지커피웍스,Check,https://map.naver.com/p/search/유지커피웍스,https://www.instagram.com/p/DWi4jxfiVaL/?img_index=3
025S,,Architecture,"Seongsu, Seoul",서울특별시 성동구 왕십리로14길 20,Check,https://map.naver.com/p/search/포인트투파이브세컨드%20성수%20하우스,https://www.instagram.com/p/DWi4jxfiVaL/?img_index=3
Infilm,,Architecture,between Busan & Seoul,서울특별시 마포구 월드컵로3길 31-32 2층,Check,https://map.naver.com/p/search/필름인필터,https://www.instagram.com/p/DXeKplTjCJx/?img_index=4
Kansong Art Museum,,Architecture,Daegu,대구광역시 수성구 미술관로 70 대구간송미술관,Check,https://map.naver.com/p/search/대구간송미술관,https://www.instagram.com/p/DXeKplTjCJx/?img_index=4
MYOUN,,Architecture,between Busan & Seoul,서울특별시 동대문구 제기로 19-10 3층 302호,High,https://map.naver.com/p/search/묘운MYOUN,https://www.instagram.com/p/DXeKplTjCJx/?img_index=4
SIHOJAE,,Architecture,between Busan & Seoul,경상북도 칠곡군 석적읍 망정1길 11-21 시호재,Unresolved,https://map.naver.com/p/search/시호재&amp;시차,https://www.instagram.com/p/DXeKplTjCJx/?img_index=4
SAYUWON,,Architecture,between Busan & Seoul,대구광역시 군위군 부계면 치산효령로 1150 사유원 제1주차장 치허문,Unresolved,https://map.naver.com/p/search/사유원,https://www.instagram.com/p/DXeKplTjCJx/?img_index=4
Byeongsanseowon Confucian Academy,,Architecture,Andong area,,Unresolved,https://map.naver.com/p/search/Byeongsanseowon%20Confucian%20Academy,https://www.instagram.com/p/DXeKplTjCJx/?img_index=4
Danyang Guinsa Temple,,Architecture,Danyang,,Unresolved,https://map.naver.com/p/search/Danyang%20Guinsa%20Temple,https://www.instagram.com/p/DXeKplTjCJx/?img_index=4
Concretewall,,Architecture,between Busan & Seoul,충청북도 제천시 금성면 청풍호로 1566 콘크리트월,Unresolved,https://map.naver.com/p/search/콘크리트월,https://www.instagram.com/p/DXeKplTjCJx/?img_index=4
Museum SAN,,Architecture,"Wonju, Gangwon",강원특별자치도 원주시 지정면 오크밸리2길 260 뮤지엄산,Check,https://map.naver.com/p/search/뮤지엄산,https://www.instagram.com/p/DXeKplTjCJx/?img_index=4
025S (Two Point Five Second),,Architecture,"Seongsu, Seoul",,Unresolved,https://map.naver.com/p/search/025S%20(Two%20Point%20Five%20Second),https://www.instagram.com/p/DZD4-dzDSTT/?img_index=5
Yoonseul: Manridong Reflecting Seoul,,Architecture,"Manri-dong, Seoul (outside Seoul Station)",,Unresolved,https://map.naver.com/p/search/Yoonseul:%20Manridong%20Reflecting%20Seoul,https://www.instagram.com/p/DZD4-dzDSTT/?img_index=5
Inwangsan shelter in the woods,,Architecture,"Inwangsan, Seoul",,Unresolved,https://map.naver.com/p/search/Inwangsan%20shelter%20in%20the%20woods,https://www.instagram.com/p/DZD4-dzDSTT/?img_index=5
Sancheong Sutbul Garden,산청 숯불가든,Seoul BBQ,Seoul,서울특별시 중구 을지로 114-6 1층,High,https://map.naver.com/p/search/산청숯불가든%20을지로,https://www.instagram.com/reel/DVI_d-VD4Y-/
Myeongsojip,명소집,Seoul BBQ,"Myeongdong, Jung-gu, Seoul (172m from Myeongdong Station Exit 3)","서울특별시 중구 퇴계로20길 13 1,2층",High,https://map.naver.com/p/search/명소집,https://www.instagram.com/reel/DXk1K2Tk5kS/
